Rank;	Iteration;	E0;	
92;	5;	0.000184384;	
92;	6;	0.000184384;	
92;	7;	0.000184384;	
92;	8;	0.000184384;	
92;	9;	0.000184384;	
92;	10;	 ;	
93;	0;	0.000184384;	
93;	1;	0.000184384;	
93;	2;	0.000184384;	
93;	3;	0.000184384;	
93;	4;	0.000184384;	
93;	5;	0.000184384;	
93;	6;	0.000184384;	
93;	7;	0.000184384;	
93;	8;	0.000184384;	
93;	9;	0.000184384;	
93;	10;	 ;	
94;	0;	0.000184384;	
94;	1;	0.000184384;	
94;	2;	0.000184384;	
94;	3;	0.000184384;	
94;	4;	0.000184384;	
94;	5;	0.000184384;	
94;	6;	0.000184384;	
94;	7;	0.000184384;	
94;	8;	0.000184384;	
94;	9;	0.000184384;	
94;	10;	 ;	
95;	0;	0.000184384;	
95;	1;	0.000184384;	
95;	2;	0.000184384;	
95;	3;	0.000184384;	
95;	4;	0.000184384;	
95;	5;	0.000184384;	
95;	6;	0.000184384;	
95;	7;	0.000184384;	
95;	8;	0.000184384;	
95;	9;	0.000184384;	
95;	10;	 ;	
96;	0;	0.000184384;	
96;	1;	0.000184384;	
96;	2;	0.000184384;	
96;	3;	0.000184384;	
96;	4;	0.000184384;	
96;	5;	0.000184384;	
96;	6;	0.000184384;	
96;	7;	0.000184384;	
96;	8;	0.000184384;	
96;	9;	0.000184384;	
96;	10;	 ;	
97;	0;	0.000184384;	
97;	1;	0.000184384;	
97;	2;	0.000184383;	
97;	3;	0.000184384;	
97;	4;	0.000184384;	
97;	5;	0.000184384;	
97;	6;	0.000184384;	
97;	7;	0.000184384;	
97;	8;	0.000184384;	
97;	9;	0.000184383;	
97;	10;	 ;	
98;	0;	0.000184384;	
98;	1;	0.000184384;	
98;	2;	0.000184384;	
98;	3;	0.000184384;	
98;	4;	0.000184384;	
98;	5;	0.000184384;	
98;	6;	0.000184384;	
98;	7;	0.000184384;	
98;	8;	0.000184384;	
98;	9;	0.000184384;	
98;	10;	 ;	
99;	0;	0.000184384;	
99;	1;	0.000184384;	
99;	2;	0.000184384;	
99;	3;	0.000184384;	
99;	4;	0.000184384;	
99;	5;	0.000184384;	
99;	6;	0.000184384;	
99;	7;	0.000184384;	
99;	8;	0.000184384;	
99;	9;	0.000184384;	
99;	10;	 ;	
100;	0;	0.000184384;	
100;	1;	0.000184384;	
100;	2;	0.000184384;	
100;	3;	0.000184384;	
100;	4;	0.000184384;	
100;	5;	0.000184384;	
100;	6;	0.000184384;	
100;	7;	0.000184384;	
100;	8;	0.000184384;	
100;	9;	0.000184384;	
100;	10;	 ;	
101;	0;	0.000184384;	
101;	1;	0.000184384;	
101;	2;	0.000184384;	
101;	3;	0.000184384;	
101;	4;	0.000184384;	
101;	5;	0.000184384;	
101;	6;	0.000184384;	
101;	7;	0.000184384;	
101;	8;	0.000184384;	
101;	9;	0.000184384;	
101;	10;	 ;	
102;	0;	0.000184384;	
102;	1;	0.000184384;	
102;	2;	0.000184384;	
102;	3;	0.000184384;	
102;	4;	0.000184384;	
102;	5;	0.000184384;	
102;	6;	0.000184384;	
102;	7;	0.000184384;	
102;	8;	0.000184384;	
102;	9;	0.000184384;	
102;	10;	 ;	
103;	0;	0.000184384;	
103;	1;	0.000184384;	
103;	2;	0.000184384;	
103;	3;	0.000184384;	
103;	4;	0.000184384;	
103;	5;	0.000184384;	
103;	6;	0.000184384;	
103;	7;	0.000184384;	
103;	8;	0.000184384;	
103;	9;	0.000184384;	
103;	10;	 ;	
104;	0;	0.000184384;	
104;	1;	0.000184384;	
104;	2;	0.000184384;	
104;	3;	0.000184384;	
104;	4;	0.000184384;	
104;	5;	0.000184384;	
104;	6;	0.000184384;	
104;	7;	0.000184384;	
104;	8;	0.000184384;	
104;	9;	0.000184384;	
104;	10;	 ;	
105;	0;	0.000184384;	
105;	1;	0.000184384;	
105;	2;	0.000184384;	
105;	3;	0.000184384;	
105;	4;	0.000184384;	
105;	5;	0.000184384;	
105;	6;	0.000184384;	
105;	7;	0.000184384;	
105;	8;	0.000184384;	
105;	9;	0.000184384;	
105;	10;	 ;	
106;	0;	0.000184384;	
106;	1;	0.000184384;	
106;	2;	0.000184384;	
106;	3;	0.000184384;	
106;	4;	0.000184384;	
106;	5;	0.000184384;	
106;	6;	0.000184384;	
106;	7;	0.000184384;	
106;	8;	0.000184384;	
106;	9;	0.000184384;	
106;	10;	 ;	
107;	0;	0.000184384;	
107;	1;	0.000184384;	
107;	2;	0.000184384;	
107;	3;	0.000184384;	
107;	4;	0.000184384;	
107;	5;	0.000184384;	
107;	6;	0.000184384;	
107;	7;	0.000184384;	
107;	8;	0.000184384;	
107;	9;	0.000184384;	
107;	10;	 ;	
108;	0;	0.000184384;	
108;	1;	0.000184384;	
108;	2;	0.000184384;	
108;	3;	0.000184384;	
108;	4;	0.000184384;	
108;	5;	0.000184384;	
108;	6;	0.000184384;	
108;	7;	0.000184384;	
108;	8;	0.000184384;	
108;	9;	0.000184384;	
108;	10;	 ;	
109;	0;	0.000184384;	
109;	1;	0.000184384;	
109;	2;	0.000184384;	
109;	3;	0.000184384;	
109;	4;	0.000184384;	
109;	5;	0.000184384;	
109;	6;	0.000184384;	
109;	7;	0.000184384;	
109;	8;	0.000184384;	
109;	9;	0.000184384;	
109;	10;	 ;	
110;	0;	0.000184384;	
110;	1;	0.000184384;	
110;	2;	0.000184383;	
110;	3;	0.000184384;	
110;	4;	0.000184384;	
110;	5;	0.000184384;	
110;	6;	0.000184384;	
110;	7;	0.000184384;	
110;	8;	0.000184384;	
110;	9;	0.000184384;	
110;	10;	 ;	
111;	0;	0.000184384;	
111;	1;	0.000184384;	
111;	2;	0.000184383;	
111;	3;	0.000184384;	
111;	4;	0.000184384;	
111;	5;	0.000184384;	
111;	6;	0.000184384;	
111;	7;	0.000184384;	
111;	8;	0.000184384;	
111;	9;	0.000184384;	
111;	10;	 ;	
112;	0;	0.000184384;	
112;	1;	0.000184384;	
112;	2;	0.000184384;	
112;	3;	0.000184384;	
112;	4;	0.000184384;	
112;	5;	0.000184384;	
112;	6;	0.000184384;	
112;	7;	0.000184384;	
112;	8;	0.000184384;	
112;	9;	0.000184384;	
112;	10;	 ;	
113;	0;	0.000184384;	
113;	1;	0.000184384;	
113;	2;	0.000184384;	
113;	3;	0.000184384;	
113;	4;	0.000184384;	
113;	5;	0.000184384;	
113;	6;	0.000184384;	
113;	7;	0.000184384;	
113;	8;	0.000184384;	
113;	9;	0.000184384;	
113;	10;	 ;	
114;	0;	0.000184384;	
114;	1;	0.000184384;	
114;	2;	0.000184384;	
114;	3;	0.000184384;	
114;	4;	0.000184384;	
114;	5;	0.000184384;	
114;	6;	0.000184384;	
114;	7;	0.000184384;	
114;	8;	0.000184384;	
114;	9;	0.000184384;	
114;	10;	 ;	
115;	0;	0.000184384;	
115;	1;	0.000184384;	
115;	2;	0.000184384;	
115;	3;	0.000184384;	
115;	4;	0.000184384;	
115;	5;	0.000184384;	
115;	6;	0.000184384;	
115;	7;	0.000184384;	
115;	8;	0.000184384;	
115;	9;	0.000184384;	
115;	10;	 ;	
116;	0;	0.000184384;	
116;	1;	0.000184384;	
116;	2;	0.000184384;	
116;	3;	0.000184384;	
116;	4;	0.000184384;	
116;	5;	0.000184384;	
116;	6;	0.000184384;	
116;	7;	0.000184384;	
116;	8;	0.000184384;	
116;	9;	0.000184384;	
116;	10;	 ;	
117;	0;	0.000184384;	
117;	1;	0.000184384;	
117;	2;	0.000184384;	
117;	3;	0.000184384;	
117;	4;	0.000184384;	
117;	5;	0.000184384;	
117;	6;	0.000184384;	
117;	7;	0.000184384;	
117;	8;	0.000184384;	
117;	9;	0.000184384;	
117;	10;	 ;	
118;	0;	0.000184384;	
118;	1;	0.000184384;	
118;	2;	0.000184384;	
118;	3;	0.000184384;	
118;	4;	0.000184384;	
118;	5;	0.000184384;	
118;	6;	0.000184384;	
118;	7;	0.000184384;	
118;	8;	0.000184384;	
118;	9;	0.000184384;	
118;	10;	 ;	
119;	0;	0.000184384;	
119;	1;	0.000184384;	
119;	2;	0.000184384;	
119;	3;	0.000184384;	
119;	4;	0.000184384;	
119;	5;	0.000184384;	
119;	6;	0.000184384;	
119;	7;	0.000184384;	
119;	8;	0.000184384;	
119;	9;	0.000184383;	
119;	10;	 ;	
120;	0;	0.000184384;	
120;	1;	0.000184384;	
120;	2;	0.000184384;	
120;	3;	0.000184384;	
120;	4;	0.000184384;	
120;	5;	0.000184384;	
120;	6;	0.000184384;	
120;	7;	0.000184384;	
120;	8;	0.000184384;	
120;	9;	0.000184384;	
120;	10;	 ;	
121;	0;	0.000184384;	
121;	1;	0.000184384;	
121;	2;	0.000184384;	
121;	3;	0.000184384;	
121;	4;	0.000184384;	
121;	5;	0.000184384;	
121;	6;	0.000184384;	
121;	7;	0.000184384;	
121;	8;	0.000184384;	
121;	9;	0.000184384;	
121;	10;	 ;	
122;	0;	0.000184384;	
122;	1;	0.000184384;	
122;	2;	0.000184384;	
122;	3;	0.000184384;	
122;	4;	0.000184384;	
122;	5;	0.000184384;	
122;	6;	0.000184384;	
122;	7;	0.000184384;	
122;	8;	0.000184384;	
122;	9;	0.000184384;	
122;	10;	 ;	
123;	0;	0.000184384;	
123;	1;	0.000184384;	
123;	2;	0.000184384;	
123;	3;	0.000184384;	
123;	4;	0.000184384;	
123;	5;	0.000184384;	
123;	6;	0.000184384;	
123;	7;	0.000184384;	
123;	8;	0.000184384;	
123;	9;	0.000184384;	
123;	10;	 ;	
124;	0;	0.000184384;	
124;	1;	0.000184384;	
124;	2;	0.000184384;	
124;	3;	0.000184384;	
124;	4;	0.000184384;	
124;	5;	0.000184384;	
124;	6;	0.000184384;	
124;	7;	0.000184384;	
124;	8;	0.000184384;	
124;	9;	0.000184384;	
124;	10;	 ;	
125;	0;	0.000184384;	
125;	1;	0.000184384;	
125;	2;	0.000184384;	
125;	3;	0.000184384;	
125;	4;	0.000184384;	
125;	5;	0.000184384;	
125;	6;	0.000184384;	
125;	7;	0.000184384;	
125;	8;	0.000184384;	
125;	9;	0.000184384;	
125;	10;	 ;	
126;	0;	0.000184384;	
126;	1;	0.000184384;	
126;	2;	0.000184384;	
126;	3;	0.000184384;	
126;	4;	0.000184384;	
126;	5;	0.000184384;	
126;	6;	0.000184384;	
126;	7;	0.000184384;	
126;	8;	0.000184384;	
126;	9;	0.000184384;	
126;	10;	 ;	
127;	0;	0.000184384;	
127;	1;	0.000184384;	
127;	2;	0.000184384;	
127;	3;	0.000184384;	
127;	4;	0.000184384;	
127;	5;	0.000184384;	
127;	6;	0.000184384;	
127;	7;	0.000184384;	
127;	8;	0.000184384;	
127;	9;	0.000184384;	
127;	10;	 ;	
128;	0;	0.000184384;	
128;	1;	0.000184384;	
128;	2;	0.000184384;	
128;	3;	0.000184384;	
128;	4;	0.000184384;	
128;	5;	0.000184384;	
128;	6;	0.000184384;	
128;	7;	0.000184384;	
128;	8;	0.000184384;	
128;	9;	0.000184384;	
128;	10;	 ;	
129;	0;	0.000184384;	
129;	1;	0.000184384;	
129;	2;	0.000184384;	
129;	3;	0.000184384;	
129;	4;	0.000184384;	
129;	5;	0.000184384;	
129;	6;	0.000184384;	
129;	7;	0.000184384;	
129;	8;	0.000184384;	
129;	9;	0.000184384;	
129;	10;	 ;	
130;	0;	0.000184384;	
130;	1;	0.000184384;	
130;	2;	0.000184384;	
130;	3;	0.000184384;	
130;	4;	0.000184384;	
130;	5;	0.000184384;	
130;	6;	0.000184384;	
130;	7;	0.000184384;	
130;	8;	0.000184384;	
130;	9;	0.000184384;	
130;	10;	 ;	
131;	0;	0.000184384;	
131;	1;	0.000184384;	
131;	2;	0.000184384;	
131;	3;	0.000184384;	
131;	4;	0.000184384;	
131;	5;	0.000184384;	
131;	6;	0.000184384;	
131;	7;	0.000184384;	
131;	8;	0.000184384;	
131;	9;	0.000184384;	
131;	10;	 ;	
132;	0;	0.000184384;	
132;	1;	0.000184384;	
132;	2;	0.000184384;	
132;	3;	0.000184384;	
132;	4;	0.000184384;	
132;	5;	0.000184384;	
132;	6;	0.000184384;	
132;	7;	0.000184384;	
132;	8;	0.000184384;	
132;	9;	0.000184384;	
132;	10;	 ;	
133;	0;	0.000184384;	
133;	1;	0.000184384;	
133;	2;	0.000184384;	
133;	3;	0.000184384;	
133;	4;	0.000184384;	
133;	5;	0.000184384;	
133;	6;	0.000184384;	
133;	7;	0.000184384;	
133;	8;	0.000184384;	
133;	9;	0.000184384;	
133;	10;	 ;	
134;	0;	0.000184384;	
134;	1;	0.000184384;	
134;	2;	0.000184384;	
134;	3;	0.000184384;	
134;	4;	0.000184384;	
134;	5;	0.000184384;	
134;	6;	0.000184384;	
134;	7;	0.000184384;	
134;	8;	0.000184384;	
134;	9;	0.000184384;	
134;	10;	 ;	
135;	0;	0.000184384;	
135;	1;	0.000184384;	
135;	2;	0.000184384;	
135;	3;	0.000184384;	
135;	4;	0.000184384;	
135;	5;	0.000184384;	
135;	6;	0.000184384;	
135;	7;	0.000184384;	
135;	8;	0.000184384;	
135;	9;	0.000184384;	
135;	10;	 ;	
136;	0;	0.000184384;	
136;	1;	0.000184384;	
136;	2;	0.000184384;	
136;	3;	0.000184384;	
136;	4;	0.000184384;	
136;	5;	0.000184384;	
136;	6;	0.000184384;	
136;	7;	0.000184384;	
136;	8;	0.000184384;	
136;	9;	0.000184384;	
136;	10;	 ;	
137;	0;	0.000184384;	
137;	1;	0.000184384;	
137;	2;	0.000184385;	
137;	3;	0.000184384;	
137;	4;	0.000184384;	
137;	5;	0.000184384;	
137;	6;	0.000184384;	
137;	7;	0.000184384;	
137;	8;	0.000184384;	
137;	9;	0.000184383;	
137;	10;	 ;	
138;	0;	0.000184384;	
138;	1;	0.000184384;	
138;	2;	0.000184383;	
138;	3;	0.000184384;	
138;	4;	0.000184384;	
138;	5;	0.000184384;	
138;	6;	0.000184384;	
138;	7;	0.000184384;	
138;	8;	0.000184384;	
138;	9;	0.000184384;	
138;	10;	 ;	
139;	0;	0.000184384;	
139;	1;	0.000184384;	
139;	2;	0.000184384;	
139;	3;	0.000184384;	
139;	4;	0.000184384;	
139;	5;	0.000184384;	
139;	6;	0.000184384;	
139;	7;	0.000184384;	
139;	8;	0.000184384;	
139;	9;	0.000184384;	
139;	10;	 ;	
140;	0;	0.000184384;	
140;	1;	0.000184384;	
140;	2;	0.000184384;	
140;	3;	0.000184384;	
140;	4;	0.000184384;	
140;	5;	0.000184384;	
140;	6;	0.000184384;	
140;	7;	0.000184384;	
140;	8;	0.000184384;	
140;	9;	0.000184384;	
140;	10;	 ;	
141;	0;	0.000184384;	
141;	1;	0.000184384;	
141;	2;	0.000184384;	
141;	3;	0.000184384;	
141;	4;	0.000184384;	
141;	5;	0.000184384;	
141;	6;	0.000184384;	
141;	7;	0.000184384;	
141;	8;	0.000184384;	
141;	9;	0.000184384;	
141;	10;	 ;	
142;	0;	0.000184384;	
142;	1;	0.000184384;	
142;	2;	0.000184384;	
142;	3;	0.000184384;	
142;	4;	0.000184384;	
142;	5;	0.000184384;	
142;	6;	0.000184384;	
142;	7;	0.000184384;	
142;	8;	0.000184384;	
142;	9;	0.000184384;	
142;	10;	 ;	
143;	0;	0.000184384;	
143;	1;	0.000184384;	
143;	2;	0.000184384;	
143;	3;	0.000184384;	
143;	4;	0.000184384;	
143;	5;	0.000184384;	
143;	6;	0.000184384;	
143;	7;	0.000184384;	
143;	8;	0.000184384;	
143;	9;	0.000184383;	
143;	10;	 ;	
144;	0;	0.000184384;	
144;	1;	0.000184384;	
144;	2;	0.000184384;	
144;	3;	0.000184384;	
144;	4;	0.000184384;	
144;	5;	0.000184384;	
144;	6;	0.000184384;	
144;	7;	0.000184384;	
144;	8;	0.000184384;	
144;	9;	0.000184384;	
144;	10;	 ;	
145;	0;	0.000184384;	
145;	1;	0.000184384;	
145;	2;	0.000184383;	
145;	3;	0.000184384;	
145;	4;	0.000184384;	
145;	5;	0.000184384;	
145;	6;	0.000184384;	
145;	7;	0.000184384;	
145;	8;	0.000184384;	
145;	9;	0.000184384;	
145;	10;	 ;	
146;	0;	0.000184384;	
146;	1;	0.000184384;	
146;	2;	0.000184384;	
146;	3;	0.000184384;	
146;	4;	0.000184384;	
146;	5;	0.000184384;	
146;	6;	0.000184384;	
146;	7;	0.000184384;	
146;	8;	0.000184384;	
146;	9;	0.000184384;	
146;	10;	 ;	
147;	0;	0.000184384;	
147;	1;	0.000184384;	
147;	2;	0.000184384;	
147;	3;	0.000184384;	
147;	4;	0.000184384;	
147;	5;	0.000184384;	
147;	6;	0.000184384;	
147;	7;	0.000184384;	
147;	8;	0.000184384;	
147;	9;	0.000184384;	
147;	10;	 ;	
148;	0;	0.000184384;	
148;	1;	0.000184384;	
148;	2;	0.000184384;	
148;	3;	0.000184384;	
148;	4;	0.000184384;	
148;	5;	0.000184384;	
148;	6;	0.000184384;	
148;	7;	0.000184384;	
148;	8;	0.000184384;	
148;	9;	0.000184384;	
148;	10;	 ;	
149;	0;	0.000184384;	
149;	1;	0.000184384;	
149;	2;	0.000184384;	
149;	3;	0.000184384;	
149;	4;	0.000184384;	
149;	5;	0.000184384;	
149;	6;	0.000184384;	
149;	7;	0.000184384;	
149;	8;	0.000184384;	
149;	9;	0.000184384;	
149;	10;	 ;	
150;	0;	0.000184384;	
150;	1;	0.000184384;	
150;	2;	0.000184384;	
150;	3;	0.000184384;	
150;	4;	0.000184384;	
150;	5;	0.000184384;	
150;	6;	0.000184384;	
150;	7;	0.000184384;	
150;	8;	0.000184384;	
150;	9;	0.000184384;	
150;	10;	 ;	
151;	0;	0.000184384;	
151;	1;	0.000184384;	
151;	2;	0.000184383;	
151;	3;	0.000184384;	
151;	4;	0.000184384;	
151;	5;	0.000184384;	
151;	6;	0.000184384;	
151;	7;	0.000184384;	
151;	8;	0.000184384;	
151;	9;	0.000184384;	
151;	10;	 ;	
152;	0;	0.000184384;	
152;	1;	0.000184384;	
152;	2;	0.000184384;	
152;	3;	0.000184384;	
152;	4;	0.000184384;	
152;	5;	0.000184384;	
152;	6;	0.000184384;	
152;	7;	0.000184384;	
152;	8;	0.000184384;	
152;	9;	0.000184384;	
152;	10;	 ;	
153;	0;	0.000184384;	
153;	1;	0.000184384;	
153;	2;	0.000184384;	
153;	3;	0.000184384;	
153;	4;	0.000184384;	
153;	5;	0.000184384;	
153;	6;	0.000184384;	
153;	7;	0.000184383;	
153;	8;	0.000184384;	
153;	9;	0.000184384;	
153;	10;	 ;	
154;	0;	0.000184384;	
154;	1;	0.000184384;	
154;	2;	0.000184384;	
154;	3;	0.000184384;	
154;	4;	0.000184384;	
154;	5;	0.000184384;	
154;	6;	0.000184384;	
154;	7;	0.000184384;	
154;	8;	0.000184384;	
154;	9;	0.000184384;	
154;	10;	 ;	
155;	0;	0.000184384;	
155;	1;	0.000184384;	
155;	2;	0.000184384;	
155;	3;	0.000184384;	
155;	4;	0.000184384;	
155;	5;	0.000184384;	
155;	6;	0.000184384;	
155;	7;	0.000184384;	
155;	8;	0.000184384;	
155;	9;	0.000184384;	
155;	10;	 ;	
156;	0;	0.000184384;	
156;	1;	0.000184384;	
156;	2;	0.000184383;	
156;	3;	0.000184384;	
156;	4;	0.000184384;	
156;	5;	0.000184384;	
156;	6;	0.000184384;	
156;	7;	0.000184384;	
156;	8;	0.000184384;	
156;	9;	0.000184383;	
156;	10;	 ;	
157;	0;	0.000184384;	
157;	1;	0.000184384;	
157;	2;	0.000184384;	
157;	3;	0.000184384;	
157;	4;	0.000184384;	
157;	5;	0.000184384;	
157;	6;	0.000184384;	
157;	7;	0.000184384;	
157;	8;	0.000184384;	
157;	9;	0.000184384;	
157;	10;	 ;	
158;	0;	0.000184384;	
158;	1;	0.000184384;	
158;	2;	0.000184384;	
158;	3;	0.000184384;	
158;	4;	0.000184384;	
158;	5;	0.000184384;	
158;	6;	0.000184384;	
158;	7;	0.000184384;	
158;	8;	0.000184384;	
158;	9;	0.000184384;	
158;	10;	 ;	
159;	0;	0.000184384;	
159;	1;	0.000184384;	
159;	2;	0.000184384;	
159;	3;	0.000184384;	
159;	4;	0.000184384;	
159;	5;	0.000184384;	
159;	6;	0.000184384;	
159;	7;	0.000184384;	
159;	8;	0.000184384;	
159;	9;	0.000184384;	
159;	10;	 ;	
160;	0;	0.000184384;	
160;	1;	0.000184384;	
160;	2;	0.000184384;	
160;	3;	0.000184384;	
160;	4;	0.000184384;	
160;	5;	0.000184384;	
160;	6;	0.000184384;	
160;	7;	0.000184384;	
160;	8;	0.000184384;	
160;	9;	0.000184383;	
160;	10;	 ;	
161;	0;	0.000184384;	
161;	1;	0.000184384;	
161;	2;	0.000184384;	
161;	3;	0.000184384;	
161;	4;	0.000184384;	
161;	5;	0.000184384;	
161;	6;	0.000184384;	
161;	7;	0.000184384;	
161;	8;	0.000184384;	
161;	9;	0.000184384;	
161;	10;	 ;	
162;	0;	0.000184384;	
162;	1;	0.000184384;	
162;	2;	0.000184384;	
162;	3;	0.000184384;	
162;	4;	0.000184384;	
162;	5;	0.000184384;	
162;	6;	0.000184384;	
162;	7;	0.000184384;	
162;	8;	0.000184384;	
162;	9;	0.000184384;	
162;	10;	 ;	
163;	0;	0.000184384;	
163;	1;	0.000184384;	
163;	2;	0.000184384;	
163;	3;	0.000184384;	
163;	4;	0.000184384;	
163;	5;	0.000184384;	
163;	6;	0.000184384;	
163;	7;	0.000184384;	
163;	8;	0.000184384;	
163;	9;	0.000184384;	
163;	10;	 ;	
164;	0;	0.000184384;	
164;	1;	0.000184384;	
164;	2;	0.000184384;	
164;	3;	0.000184384;	
164;	4;	0.000184384;	
164;	5;	0.000184384;	
164;	6;	0.000184384;	
164;	7;	0.000184384;	
164;	8;	0.000184384;	
164;	9;	0.000184384;	
164;	10;	 ;	
165;	0;	0.000184384;	
165;	1;	0.000184384;	
165;	2;	0.000184384;	
165;	3;	0.000184384;	
165;	4;	0.000184384;	
165;	5;	0.000184384;	
165;	6;	0.000184384;	
165;	7;	0.000184384;	
165;	8;	0.000184384;	
165;	9;	0.000184384;	
165;	10;	 ;	
166;	0;	0.000184384;	
166;	1;	0.000184384;	
166;	2;	0.000184384;	
166;	3;	0.000184384;	
166;	4;	0.000184384;	
166;	5;	0.000184384;	
166;	6;	0.000184384;	
166;	7;	0.000184384;	
166;	8;	0.000184384;	
166;	9;	0.000184384;	
166;	10;	 ;	
167;	0;	0.000184384;	
167;	1;	0.000184384;	
167;	2;	0.000184384;	
167;	3;	0.000184384;	
167;	4;	0.000184384;	
167;	5;	0.000184384;	
167;	6;	0.000184384;	
167;	7;	0.000184384;	
167;	8;	0.000184384;	
167;	9;	0.000184384;	
167;	10;	 ;	
168;	0;	0.000184384;	
168;	1;	0.000184384;	
168;	2;	0.000184383;	
168;	3;	0.000184384;	
168;	4;	0.000184384;	
168;	5;	0.000184384;	
168;	6;	0.000184384;	
168;	7;	0.000184384;	
168;	8;	0.000184384;	
168;	9;	0.000184383;	
168;	10;	 ;	
169;	0;	0.000184384;	
169;	1;	0.000184384;	
169;	2;	0.000184384;	
169;	3;	0.000184384;	
169;	4;	0.000184384;	
169;	5;	0.000184384;	
169;	6;	0.000184384;	
169;	7;	0.000184384;	
169;	8;	0.000184384;	
169;	9;	0.000184384;	
169;	10;	 ;	
170;	0;	0.000184384;	
170;	1;	0.000184384;	
170;	2;	0.000184384;	
170;	3;	0.000184384;	
170;	4;	0.000184384;	
170;	5;	0.000184384;	
170;	6;	0.000184384;	
170;	7;	0.000184384;	
170;	8;	0.000184384;	
170;	9;	0.000184384;	
170;	10;	 ;	
171;	0;	0.000184384;	
171;	1;	0.000184384;	
171;	2;	0.000184384;	
171;	3;	0.000184384;	
171;	4;	0.000184384;	
171;	5;	0.000184384;	
171;	6;	0.000184384;	
171;	7;	0.000184384;	
171;	8;	0.000184384;	
171;	9;	0.000184384;	
171;	10;	 ;	
172;	0;	0.000184384;	
172;	1;	0.000184384;	
172;	2;	0.000184384;	
172;	3;	0.000184384;	
172;	4;	0.000184384;	
172;	5;	0.000184384;	
172;	6;	0.000184384;	
172;	7;	0.000184384;	
172;	8;	0.000184384;	
172;	9;	0.000184384;	
172;	10;	 ;	
173;	0;	0.000184384;	
173;	1;	0.000184384;	
173;	2;	0.000184384;	
173;	3;	0.000184384;	
173;	4;	0.000184384;	
173;	5;	0.000184384;	
173;	6;	0.000184384;	
173;	7;	0.000184384;	
173;	8;	0.000184384;	
173;	9;	0.000184383;	
173;	10;	 ;	
174;	0;	0.000184384;	
174;	1;	0.000184384;	
174;	2;	0.000184384;	
174;	3;	0.000184384;	
174;	4;	0.000184384;	
174;	5;	0.000184384;	
174;	6;	0.000184384;	
174;	7;	0.000184384;	
174;	8;	0.000184384;	
174;	9;	0.000184383;	
174;	10;	 ;	
175;	0;	0.000184384;	
175;	1;	0.000184384;	
175;	2;	0.000184384;	
175;	3;	0.000184384;	
175;	4;	0.000184384;	
175;	5;	0.000184384;	
175;	6;	0.000184384;	
175;	7;	0.000184384;	
175;	8;	0.000184384;	
175;	9;	0.000184384;	
175;	10;	 ;	
176;	0;	0.000184384;	
176;	1;	0.000184384;	
176;	2;	0.000184383;	
176;	3;	0.000184384;	
176;	4;	0.000184384;	
176;	5;	0.000184384;	
176;	6;	0.000184384;	
176;	7;	0.000184384;	
176;	8;	0.000184384;	
176;	9;	0.000184384;	
176;	10;	 ;	
177;	0;	0.000184384;	
177;	1;	0.000184384;	
177;	2;	0.000184382;	
177;	3;	0.000184385;	
177;	4;	0.000184384;	
177;	5;	0.000184384;	
177;	6;	0.000184384;	
177;	7;	0.000184384;	
177;	8;	0.000184384;	
177;	9;	0.000184384;	
177;	10;	 ;	
178;	0;	0.000184384;	
178;	1;	0.000184384;	
178;	2;	0.000184384;	
178;	3;	0.000184384;	
178;	4;	0.000184384;	
178;	5;	0.000184384;	
178;	6;	0.000184384;	
178;	7;	0.000184384;	
178;	8;	0.000184384;	
178;	9;	0.000184384;	
178;	10;	 ;	
179;	0;	0.000184384;	
179;	1;	0.000184384;	
179;	2;	0.000184384;	
179;	3;	0.000184384;	
179;	4;	0.000184384;	
179;	5;	0.000184384;	
179;	6;	0.000184384;	
179;	7;	0.000184384;	
179;	8;	0.000184384;	
179;	9;	0.000184383;	
179;	10;	 ;	
180;	0;	0.000184384;	
180;	1;	0.000184384;	
180;	2;	0.000184384;	
180;	3;	0.000184384;	
180;	4;	0.000184384;	
180;	5;	0.000184384;	
180;	6;	0.000184384;	
180;	7;	0.000184384;	
180;	8;	0.000184384;	
180;	9;	0.000184384;	
180;	10;	 ;	
181;	0;	0.000184384;	
181;	1;	0.000184384;	
181;	2;	0.000184384;	
181;	3;	0.000184384;	
181;	4;	0.000184384;	
181;	5;	0.000184384;	
181;	6;	0.000184384;	
181;	7;	0.000184384;	
181;	8;	0.000184384;	
181;	9;	0.000184384;	
181;	10;	 ;	
182;	0;	0.000184384;	
182;	1;	0.000184384;	
182;	2;	0.000184384;	
182;	3;	0.000184384;	
182;	4;	0.000184384;	
182;	5;	0.000184384;	
182;	6;	0.000184384;	
182;	7;	0.000184384;	
182;	8;	0.000184384;	
182;	9;	0.000184383;	
182;	10;	 ;	
183;	0;	0.000184384;	
183;	1;	0.000184384;	
183;	2;	0.000184383;	
183;	3;	0.000184384;	
183;	4;	0.000184384;	
183;	5;	0.000184384;	
183;	6;	0.000184384;	
183;	7;	0.000184384;	
183;	8;	0.000184384;	
183;	9;	0.000184384;	
183;	10;	 ;	
184;	0;	0.000184384;	
184;	1;	0.000184384;	
184;	2;	0.000184384;	
184;	3;	0.000184384;	
184;	4;	0.000184384;	
184;	5;	0.000184384;	
184;	6;	0.000184384;	
184;	7;	0.000184384;	
184;	8;	0.000184384;	
184;	9;	0.000184384;	
184;	10;	 ;	
